year,make,fuel,type,number
2016,MERCEDES BENZ,Diesel,Very Heavy Goods Vehicles,66
2016,MITSUBISHI,Diesel,Very Heavy Goods Vehicles,325
2016,ROSENBAUER,Diesel,Very Heavy Goods Vehicles,1
2016,SCANIA,Diesel,Very Heavy Goods Vehicles,179
2016,SCHOPF,Diesel,Very Heavy Goods Vehicles,2
2016,SHACMAN,Diesel,Very Heavy Goods Vehicles,5
2016,T.C.M.,Diesel,Very Heavy Goods Vehicles,28
2016,TAILIFT,Diesel,Very Heavy Goods Vehicles,1
2016,TEREX,Diesel,Very Heavy Goods Vehicles,1
2016,TOYOTA,Diesel,Very Heavy Goods Vehicles,12
2016,UD TRUCKS,Diesel,Very Heavy Goods Vehicles,125
2016,VOGELE,Diesel,Very Heavy Goods Vehicles,5
2016,VOLVO,Diesel,Very Heavy Goods Vehicles,115
2016,WIRTGEN,Diesel,Very Heavy Goods Vehicles,5
2016,XUGONG,Diesel,Very Heavy Goods Vehicles,2
2016,ZOOMLION,Diesel,Very Heavy Goods Vehicles,1
2016,ANKAI,Diesel,Buses,6
2016,BYD,Others,Buses,1
2016,FOTON,Diesel,Buses,11
2016,FTBCI,Diesel,Buses,16
2016,GOLDEN DRAGON,Diesel,Buses,30
2016,HIGER,Diesel,Buses,13
2016,HYUNDAI,Diesel,Buses,8
2016,ISUZU,Diesel,Buses,81
2016,JOYLONG,Diesel,Buses,12
2016,KING LONG,Diesel,Buses,6
2016,MAN,Diesel,Buses,120
2016,MAXUS,Diesel,Buses,12
2016,MERCEDES BENZ,Diesel,Buses,199
2016,MITSUBISHI,Diesel,Buses,75
2016,NISSAN,Diesel,Buses,100
2016,OPEL,Diesel,Buses,1
2016,SCANIA,Diesel,Buses,3
2016,TOYOTA,Diesel,Buses,686
2016,VOLVO,Diesel,Buses,314
2016,YUTONG,Diesel,Buses,95
2016,ZHONG TONG,Diesel,Buses,10
2017,FORD,Diesel,Goods cum Passenger Vehicles,19
2017,ISUZU,Diesel,Goods cum Passenger Vehicles,14
2017,MERCEDES BENZ,Diesel,Goods cum Passenger Vehicles,1
2017,MITSUBISHI,Diesel,Goods cum Passenger Vehicles,105
2017,NISSAN,Diesel,Goods cum Passenger Vehicles,73
2017,SSANGYONG,Diesel,Goods cum Passenger Vehicles,42
2017,TOYOTA,Diesel,Goods cum Passenger Vehicles,10
2017,VOLKSWAGEN,Diesel,Goods cum Passenger Vehicles,1
2017,BOBCAT,Diesel,Light Goods Vehicles,1
2017,CITROEN,Diesel,Light Goods Vehicles,153
2017,FIAT,Diesel,Light Goods Vehicles,668
2017,FIMAP,Diesel,Light Goods Vehicles,1
2017,GREEN MACHINE,Diesel,Light Goods Vehicles,3
2017,HYUNDAI,Diesel,Light Goods Vehicles,46
2017,ISUZU,Diesel,Light Goods Vehicles,255
2017,JEEP,Diesel,Light Goods Vehicles,1
2017,KIA,Diesel,Light Goods Vehicles,106
2017,LAND ROVER,Diesel,Light Goods Vehicles,13
2017,MAXUS,Diesel,Light Goods Vehicles,150
2017,MERCEDES BENZ,Diesel,Light Goods Vehicles,234
2017,MITSUBISHI,Diesel,Light Goods Vehicles,299
2017,NISSAN,Petrol,Light Goods Vehicles,670
2017,NISSAN,Diesel,Light Goods Vehicles,5026
2017,OPEL,Diesel,Light Goods Vehicles,96
2017,PEUGEOT,Diesel,Light Goods Vehicles,202
2017,RENAULT,Petrol,Light Goods Vehicles,1
2017,RENAULT,Diesel,Light Goods Vehicles,91
2017,RENAULT,Others,Light Goods Vehicles,13
2017,SAKAI,Diesel,Light Goods Vehicles,1
2017,SUZUKI,Petrol,Light Goods Vehicles,157
2017,TENNANT,Diesel,Light Goods Vehicles,3
2017,TOYOTA,Petrol,Light Goods Vehicles,70
2017,TOYOTA,Diesel,Light Goods Vehicles,5765
2017,VOLKSWAGEN,Diesel,Light Goods Vehicles,147
2017,VOLVO,Diesel,Light Goods Vehicles,1
2017,BOBCAT,Diesel,Heavy Goods Vehicles,6
2017,CATERPILLAR,Diesel,Heavy Goods Vehicles,3
2017,COMBILIFT,Diesel,Heavy Goods Vehicles,1
2017,D.A.F.,Diesel,Heavy Goods Vehicles,2
2017,DULEVO,Diesel,Heavy Goods Vehicles,14
2017,EVERLIFT,Diesel,Heavy Goods Vehicles,3
2017,FOTON,Diesel,Heavy Goods Vehicles,21
2017,FTBCI,Diesel,Heavy Goods Vehicles,2
2017,HAMM,Diesel,Heavy Goods Vehicles,8
2017,HINO,Diesel,Heavy Goods Vehicles,484
2017,HYSTER,Diesel,Heavy Goods Vehicles,2
2017,ISUZU,Diesel,Heavy Goods Vehicles,1102
2017,JAC,Diesel,Heavy Goods Vehicles,66
2017,JJCC,Diesel,Heavy Goods Vehicles,2
2017,KOMATSU,Diesel,Heavy Goods Vehicles,5
2017,LEKTRO,Others,Heavy Goods Vehicles,1
2017,LINDE,Diesel,Heavy Goods Vehicles,2
2017,MAN,Diesel,Heavy Goods Vehicles,10
2017,MAXIMAL,Diesel,Heavy Goods Vehicles,3
2017,MERCEDES BENZ,Diesel,Heavy Goods Vehicles,24
2017,MITSUBISHI,Diesel,Heavy Goods Vehicles,1392
2017,NICHIYU,Others,Heavy Goods Vehicles,1
2017,NISSAN,Diesel,Heavy Goods Vehicles,2
2017,SAKAI,Diesel,Heavy Goods Vehicles,8
2017,STILL,Others,Heavy Goods Vehicles,1
2017,T.C.M.,Diesel,Heavy Goods Vehicles,9
2017,T.C.M.,Others,Heavy Goods Vehicles,2
2017,TLD,Diesel,Heavy Goods Vehicles,19
2017,TOYOTA,Diesel,Heavy Goods Vehicles,456
2017,TOYOTA,Others,Heavy Goods Vehicles,105
2017,UD TRUCKS,Diesel,Heavy Goods Vehicles,58
2017,UNICARRIERS,Diesel,Heavy Goods Vehicles,20
2017,VOLKSWAGEN,Diesel,Heavy Goods Vehicles,2
2017,VOLVO,Diesel,Heavy Goods Vehicles,3
2017,WIRTGEN,Diesel,Heavy Goods Vehicles,2
2017,YALE,Diesel,Heavy Goods Vehicles,11
2017,BEIBEN,Diesel,Very Heavy Goods Vehicles,10
2017,CAMC,Diesel,Very Heavy Goods Vehicles,58
2017,CIMC AIR MARREL SAS,Diesel,Very Heavy Goods Vehicles,17
2017,CVS FERRARI,Diesel,Very Heavy Goods Vehicles,4
2017,D.A.F.,Diesel,Very Heavy Goods Vehicles,38
2017,DAEWOO,Diesel,Very Heavy Goods Vehicles,2
2017,DEMAG,Diesel,Very Heavy Goods Vehicles,1
2017,GUANGTAI,Diesel,Very Heavy Goods Vehicles,17
2017,HINO,Diesel,Very Heavy Goods Vehicles,86
2017,HOLDING,Diesel,Very Heavy Goods Vehicles,2
2017,ISUZU,Diesel,Very Heavy Goods Vehicles,219
2017,IVECO,Diesel,Very Heavy Goods Vehicles,11
2017,KALMAR,Diesel,Very Heavy Goods Vehicles,7
2017,LIEBHERR,Diesel,Very Heavy Goods Vehicles,1
2017,LINDE,Diesel,Very Heavy Goods Vehicles,1
2017,MAN,Diesel,Very Heavy Goods Vehicles,102
2017,MANITOU,Diesel,Very Heavy Goods Vehicles,2
2017,MERCEDES BENZ,Diesel,Very Heavy Goods Vehicles,21
2017,MITSUBISHI,Diesel,Very Heavy Goods Vehicles,385
2017,ROSENBAUER,Diesel,Very Heavy Goods Vehicles,2
2017,ROYAL,Diesel,Very Heavy Goods Vehicles,1
2017,SCANIA,Diesel,Very Heavy Goods Vehicles,157
2017,SCHOPF,Diesel,Very Heavy Goods Vehicles,1
2017,SHACMAN,Diesel,Very Heavy Goods Vehicles,1
2017,T.C.M.,Diesel,Very Heavy Goods Vehicles,17
2017,TADANO FAUN,Diesel,Very Heavy Goods Vehicles,3
2017,TEREX,Diesel,Very Heavy Goods Vehicles,2
2017,TLD,Diesel,Very Heavy Goods Vehicles,1
2017,TOYOTA,Diesel,Very Heavy Goods Vehicles,11
2017,TREPEL,Diesel,Very Heavy Goods Vehicles,1
2017,UD TRUCKS,Diesel,Very Heavy Goods Vehicles,199
2017,VOGELE,Diesel,Very Heavy Goods Vehicles,2
2017,VOLVO,Diesel,Very Heavy Goods Vehicles,71
2017,WIRTGEN,Diesel,Very Heavy Goods Vehicles,3
2017,XCMG,Diesel,Very Heavy Goods Vehicles,2
2017,ALEXANDER DENNIS,Diesel,Buses,15
2017,BYD,Others,Buses,1
2017,CITROEN,Diesel,Buses,1
2017,FOTON,Diesel,Buses,19
2017,FTBCI,Diesel,Buses,34
2017,GOLDEN DRAGON,Diesel,Buses,56
2017,HIGER,Diesel,Buses,17
2017,HYUNDAI,Diesel,Buses,6
2017,ISUZU,Diesel,Buses,127
2017,JOYLONG,Diesel,Buses,2
2017,KING LONG,Diesel,Buses,41
2017,MAN,Diesel,Buses,127
2017,MAXUS,Diesel,Buses,11
2017,MERCEDES BENZ,Diesel,Buses,99
2017,MITSUBISHI,Diesel,Buses,74
2017,NISSAN,Diesel,Buses,105
2017,OPEL,Diesel,Buses,3
2017,RENAULT,Diesel,Buses,1
2017,SC NEUSTAR,Diesel,Buses,2
2017,SCANIA,Diesel,Buses,35
2017,TOYOTA,Diesel,Buses,561
2017,VOLVO,Diesel,Buses,206
2017,YUTONG,Diesel,Buses,112
2017,ZHONG TONG,Diesel,Heavy Goods Vehicles,32
2018,ACHLEITNER,Diesel,Goods cum Passenger Vehicles,
2018,ALEXANDER DENNIS,Diesel,Goods cum Passenger Vehicles,
2018,AMMANN,Diesel,Goods cum Passenger Vehicles,
2018,ANKAI,Diesel,Goods cum Passenger Vehicles,
2018,BAOLI,Diesel,Goods cum Passenger Vehicles,
2018,BEIBEN,Diesel,Goods cum Passenger Vehicles,
2018,BLISS FOX,Diesel,Goods cum Passenger Vehicles,
2018,BOBCAT,Diesel,Goods cum Passenger Vehicles,
2018,BOMAG,Diesel,Goods cum Passenger Vehicles,
2018,BYD,Others,Goods cum Passenger Vehicles,
2018,CAMC,Diesel,Goods cum Passenger Vehicles,
2018,CATERPILLAR,Diesel,Goods cum Passenger Vehicles,
2018,CHERY,Petrol,Goods cum Passenger Vehicles,
2018,CHERY,Diesel,Goods cum Passenger Vehicles,
2018,CIMC AIR MARREL SAS,Diesel,Goods cum Passenger Vehicles,
2018,CITROEN,Diesel,Goods cum Passenger Vehicles,
2018,COMAC,Diesel,Goods cum Passenger Vehicles,
2018,COMBILIFT,Diesel,Goods cum Passenger Vehicles,
2018,CROWN,Others,Goods cum Passenger Vehicles,
2018,CVS FERRARI,Diesel,Goods cum Passenger Vehicles,
2018,D.A.F.,Diesel,Goods cum Passenger Vehicles,
2018,DAEWOO,Diesel,Goods cum Passenger Vehicles,
2018,DEMAG,Diesel,Goods cum Passenger Vehicles,
2018,DOOSAN,Diesel,Goods cum Passenger Vehicles,
2018,DULEVO,Diesel,Goods cum Passenger Vehicles,
2018,EVERLIFT,Diesel,Goods cum Passenger Vehicles,
2018,FIAT,Diesel,Goods cum Passenger Vehicles,
2018,FIMAP,Diesel,Goods cum Passenger Vehicles,
2018,FORD,Diesel,Goods cum Passenger Vehicles,2
2018,FOTON,Diesel,Goods cum Passenger Vehicles,
2018,FTBCI,Diesel,Goods cum Passenger Vehicles,
2018,G.CPOWER,Diesel,Goods cum Passenger Vehicles,
2018,GIANNI FERRARI,Diesel,Goods cum Passenger Vehicles,
2018,GOLDEN DRAGON,Diesel,Goods cum Passenger Vehicles,
2018,GREEN MACHINE,Diesel,Goods cum Passenger Vehicles,
2018,GROVE,Diesel,Goods cum Passenger Vehicles,
2018,GUANGTAI,Diesel,Goods cum Passenger Vehicles,
2018,HAMM,Diesel,Goods cum Passenger Vehicles,
2018,HANGFU,Others,Goods cum Passenger Vehicles,
2018,HC,Diesel,Goods cum Passenger Vehicles,
2018,HC,Others,Goods cum Passenger Vehicles,
2018,HCF,Diesel,Goods cum Passenger Vehicles,
2018,HELI,Diesel,Goods cum Passenger Vehicles,
2018,HIGER,Diesel,Goods cum Passenger Vehicles,
2018,HINO,Diesel,Goods cum Passenger Vehicles,
2018,HOLDING,Diesel,Goods cum Passenger Vehicles,
2018,HYSTER,Diesel,Goods cum Passenger Vehicles,
2018,HYUNDAI,Diesel,Goods cum Passenger Vehicles,19
2018,ISUZU,Diesel,Goods cum Passenger Vehicles,17
2018,IVECO,Diesel,Goods cum Passenger Vehicles,
2018,J.C.B.,Diesel,Goods cum Passenger Vehicles,
2018,JAC,Diesel,Goods cum Passenger Vehicles,
2018,JEEP,Diesel,Goods cum Passenger Vehicles,
2018,JJCC,Diesel,Goods cum Passenger Vehicles,
2018,JOHN DEERE,Diesel,Goods cum Passenger Vehicles,
2018,JOYLONG,Diesel,Goods cum Passenger Vehicles,
2018,JUNGHEINRICH,Diesel,Goods cum Passenger Vehicles,
2018,KALMAR,Diesel,Goods cum Passenger Vehicles,
2018,KARCHER,Diesel,Goods cum Passenger Vehicles,
2018,KIA,Diesel,Goods cum Passenger Vehicles,
2018,KING LONG,Diesel,Goods cum Passenger Vehicles,
2018,KOMATSU,Diesel,Goods cum Passenger Vehicles,
2018,KUBOTA,Diesel,Goods cum Passenger Vehicles,
2018,LAND ROVER,Diesel,Goods cum Passenger Vehicles,
2018,LEKTRO,Others,Goods cum Passenger Vehicles,
2018,LIEBHERR,Diesel,Goods cum Passenger Vehicles,
2018,LINDE,Diesel,Goods cum Passenger Vehicles,
2018,LINDE,Others,Goods cum Passenger Vehicles,
2018,MAN,Diesel,Goods cum Passenger Vehicles,
2018,MANITOU,Diesel,Goods cum Passenger Vehicles,
2018,MAXIMAL,Diesel,Goods cum Passenger Vehicles,
2018,MAXUS,Diesel,Goods cum Passenger Vehicles,
2018,MERCEDES BENZ,Petrol,Goods cum Passenger Vehicles,
2018,MERCEDES BENZ,Diesel,Goods cum Passenger Vehicles,1
2018,MITSUBISHI,Diesel,Goods cum Passenger Vehicles,130
2018,MITSUBISHI,Others,Goods cum Passenger Vehicles,
2018,MITSUOKA,Petrol,Goods cum Passenger Vehicles,
2018,NEW HOLLAND,Diesel,Goods cum Passenger Vehicles,
2018,NICHIYU,Others,Goods cum Passenger Vehicles,
2018,NILFISK,Diesel,Goods cum Passenger Vehicles,
2018,NISSAN,Petrol,Goods cum Passenger Vehicles,
2018,NISSAN,Diesel,Goods cum Passenger Vehicles,
2018,NISSAN,Others,Goods cum Passenger Vehicles,
2018,OPEL,Diesel,Goods cum Passenger Vehicles,
2018,PEUGEOT,Diesel,Goods cum Passenger Vehicles,
2018,RENAULT,Petrol,Goods cum Passenger Vehicles,
2018,RENAULT,Diesel,Goods cum Passenger Vehicles,
2018,RENAULT,Others,Goods cum Passenger Vehicles,
2018,ROSENBAUER,Diesel,Goods cum Passenger Vehicles,
2018,ROYAL,Diesel,Goods cum Passenger Vehicles,
2018,SAKAI,Diesel,Goods cum Passenger Vehicles,
2018,SC NEUSTAR,Diesel,Goods cum Passenger Vehicles,
2018,SCANIA,Diesel,Goods cum Passenger Vehicles,
2018,SCHEUERLE,Diesel,Goods cum Passenger Vehicles,
2018,SCHOPF,Diesel,Goods cum Passenger Vehicles,
2018,SHACMAN,Diesel,Goods cum Passenger Vehicles,
2018,SSANGYONG,Diesel,Goods cum Passenger Vehicles,51
2018,STILL,Others,Goods cum Passenger Vehicles,
2018,SUZUKI,Petrol,Goods cum Passenger Vehicles,
2018,T.C.M.,Diesel,Goods cum Passenger Vehicles,
